,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Coihaique,0,CL,1562383900,87,-45.58,-72.07,42.8,3.36
1,Te Anau,0,NZ,1562383901,75,-45.41,167.72,44.33,2.91
2,Chuy,64,UY,1562383902,71,-33.69,-53.46,46.67,17.54
3,Saldanha,35,PT,1562383903,81,41.42,-6.55,59.63,2.04
4,Amudat,52,UG,1562383904,85,1.95,34.95,64.13,0.87
5,Port Macquarie,75,AU,1562383905,87,-31.43,152.91,66.0,10.29
6,Sur,100,OM,1562383905,43,22.57,59.53,92.57,3.38
7,Busselton,67,AU,1562383906,72,-33.64,115.35,59.0,24.11
8,Celendin,46,PE,1562383910,93,-6.87,-78.15,42.35,5.86
9,Zhangjiakou,14,CN,1562383914,52,40.77,114.88,59.81,24.9
10,Tripoli,0,GR,1562383917,72,37.51,22.37,75.0,6.93
11,Bluff,92,AU,1562383918,78,-23.58,149.07,65.93,26.13
12,Rikitea,100,PF,1562383919,71,-23.12,-134.97,68.27,24.38
13,Talnakh,0,RU,1562383920,51,69.49,88.39,59.0,22.37
14,Puerto Ayora,67,EC,1562383920,95,-0.74,-90.35,70.0,8.19
15,New Norfolk,20,AU,1562383922,66,-42.78,147.06,55.4,6.93
16,Anadyr,20,RU,1562383923,81,64.73,177.51,51.8,31.32
17,Hauterive,40,CA,1562383923,82,49.18,-68.27,77.0,16.11
18,Ponta do Sol,80,BR,1562383924,94,-20.63,-46.0,56.93,7.38
19,Port Alfred,4,ZA,1562383925,53,-33.59,26.89,59.0,8.01
20,Lebu,90,ET,1562383926,87,8.96,38.73,55.4,6.93
21,Araouane,32,ML,1562383928,40,18.9,-3.53,90.95,13.56
22,Qaanaaq,33,GL,1562383929,59,77.48,-69.36,41.27,2.17
23,Vaini,90,IN,1562383930,88,15.34,74.49,73.4,17.22
24,Boueni,90,YT,1562383933,88,-12.9,45.08,78.8,10.29
25,Chokurdakh,71,RU,1562383935,47,70.62,147.9,57.29,12.71
26,Arraial do Cabo,100,BR,1562383936,79,-22.97,-42.02,66.65,13.4
27,Punta Arenas,0,CL,1562383937,75,-53.16,-70.91,42.8,23.04
28,Yar-Sale,29,RU,1562383938,47,66.83,70.83,58.55,22.7
29,Bambous Virieux,40,MU,1562383939,69,-20.34,57.76,73.4,10.29
30,Hermanus,8,ZA,1562383940,89,-34.42,19.24,53.01,27.78
31,Ancud,90,CL,1562383941,100,-41.87,-73.83,42.8,5.82
32,Ushtobe,0,KZ,1562383942,19,45.25,77.98,89.69,9.62
33,Geraldton,75,CA,1562383942,42,49.72,-86.95,66.2,6.93
34,Sisimiut,99,GL,1562383773,86,66.94,-53.67,40.91,12.33
35,Castro,90,CL,1562383945,100,-42.48,-73.76,42.8,5.82
36,Hobart,20,AU,1562383949,66,-42.88,147.33,55.4,6.93
37,Sioux Lookout,90,CA,1562383882,51,50.1,-91.92,60.8,5.82
38,Albany,40,US,1562383883,69,42.65,-73.75,81.0,10.29
39,Ushuaia,40,AR,1562383952,86,-54.81,-68.31,37.4,24.16
40,Khatanga,85,RU,1562383954,53,71.98,102.47,51.71,13.67
41,Saskylakh,100,RU,1562383954,84,71.97,114.09,41.27,10.98
42,Atuona,18,PF,1562383956,80,-9.8,-139.03,81.23,20.13
43,Marystown,86,CA,1562383957,90,47.17,-55.16,51.17,3.6
44,Thompson,40,CA,1562383958,59,55.74,-97.86,62.6,2.24
45,Hilo,90,US,1562383959,65,19.71,-155.08,82.4,13.87
46,Cabo San Lucas,5,MX,1562383901,37,22.89,-109.91,87.01,6.93
47,Bafia,100,CM,1562383963,98,4.74,11.22,68.09,2.39
48,Gobabis,0,NA,1562383965,29,-22.45,18.97,33.8,1.12
49,Asosa,100,ET,1562383966,93,10.07,34.53,65.03,4.97
50,Senanga,0,ZM,1562383967,49,-16.1,23.3,50.63,4.85
51,Dehloran,0,IR,1562383968,10,32.69,47.27,82.67,10.0
52,Longyearbyen,40,NO,1562383968,66,78.22,15.63,55.4,13.87
53,Suncuius,65,RO,1562383969,93,46.93,22.53,57.2,5.82
54,Vestmanna,100,FO,1562383970,81,62.16,-7.17,44.6,19.46
55,Carnarvon,0,ZA,1562383970,59,-30.97,22.13,43.43,7.65
56,Codajas,0,BR,1562383970,96,-3.84,-62.06,73.85,2.17
57,Nanortalik,65,GL,1562383971,77,60.14,-45.24,42.17,6.6
58,Nouadhibou,0,MR,1562383971,82,20.93,-17.03,68.0,20.8
59,Tazovskiy,0,RU,1562383971,62,67.47,78.7,51.53,21.0
60,Jamestown,38,AU,1562383971,55,-33.21,138.6,65.57,17.27
61,Pochutla,40,MX,1562383972,78,15.74,-96.47,82.0,6.93
62,Farrukhnagar,40,IN,1562383972,74,28.45,76.82,90.0,4.7
63,Petukhovo,100,RU,1562383973,98,55.06,67.89,59.45,8.57
64,Cherskiy,99,RU,1562383973,74,68.75,161.3,62.51,8.37
65,East London,0,ZA,1562383977,53,-33.02,27.91,46.67,4.99
66,Hithadhoo,96,MV,1562383978,71,-0.6,73.08,83.93,8.81
67,Laguna,20,BZ,1562383979,94,16.17,-88.94,80.6,2.39
68,Mogocha,0,RU,1562383979,34,53.73,119.76,76.19,4.97
69,Avarua,0,CK,1562383979,60,-21.21,-159.78,73.4,17.22
70,Ulladulla,90,AU,1562383980,67,-35.36,150.48,63.0,8.05
71,Bredasdorp,38,ZA,1562383980,87,-34.53,20.04,53.01,4.7
72,Caravelas,0,BR,1562383980,85,-17.73,-39.27,75.65,11.56
73,Bundaberg,40,AU,1562383981,60,-24.87,152.35,73.0,21.92
74,Tuktoyaktuk,90,CA,1562383981,87,69.44,-133.03,51.8,25.28
75,Hibbing,1,US,1562383981,64,47.43,-92.94,68.0,4.7
76,Tuy Hoa,12,VN,1562383981,47,13.08,109.3,90.95,12.35
77,Cape Town,75,ZA,1562383788,76,-33.93,18.42,55.99,12.75
78,Barreirinhas,10,BR,1562383982,97,-2.75,-42.83,74.39,5.61
79,Wawa,100,NG,1562383982,93,9.9,4.41,72.77,3.09
80,Alofi,0,NU,1562383983,65,-19.06,-169.92,77.0,16.11
